,filename,answer0,answer1,answer2,answer3,answer4,answer5,result,realLabel
0,1_1_11004_IEO_DIS_MD.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
1,5_5_51091_WSI_SAD_XX.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
2,4_4_41076_IWL_NEU_XX.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
3,3_3_31044_IEO_HAP_HI.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
4,0_1_11078_IOM_DIS_XX.wav,0.0,0.0,1.0,0.0,0.0,1.0,1,1
5,0_0_01005_ITS_ANG_XX.wav,0.0,0.0,1.0,0.0,0.0,1.0,1,0
6,1_1_11054_IWL_DIS_XX.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
7,4_4_41016_WSI_NEU_XX.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
8,5_5_51035_IWL_SAD_XX.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
9,5_5_51034_TAI_SAD_XX.wav,0.0,1.0,1.0,1.0,0.0,1.0,0,0
10,4_4_41032_IWL_NEU_XX.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
11,0_0_01033_MTI_ANG_XX.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
12,4_4_41062_IWL_NEU_XX.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
13,1_5_51084_IOM_SAD_XX.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,1
14,2_2_21033_ITH_FEA_XX.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
15,4_0_01080_IEO_ANG_HI.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,1
16,4_4_41040_IOM_NEU_XX.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
17,0_0_01049_ITH_ANG_XX.wav,1.0,0.0,1.0,1.0,0.0,1.0,0,0
18,0_0_01054_IEO_ANG_HI.wav,1.0,1.0,1.0,1.0,1.0,1.0,0,0
19,3_3_31018_DFA_HAP_XX.wav,1.0,0.0,1.0,1.0,1.0,1.0,0,0
20,3_3_31027_ITH_HAP_XX.wav,0.0,1.0,1.0,1.0,0.0,1.0,0,0
21,0_0_01068_DFA_ANG_XX.wav,1.0,1.0,1.0,1.0,0.0,1.0,0,0
22,2_2_21031_IWW_FEA_XX.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
23,3_3_31002_IEO_HAP_HI.wav,1.0,1.0,1.0,1.0,0.0,1.0,0,0
24,5_5_51028_IEO_SAD_LO.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
25,3_3_31036_MTI_HAP_XX.wav,0.0,1.0,1.0,1.0,0.0,0.0,1,0
26,4_4_41081_IWW_NEU_XX.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
27,0_0_01077_IEO_ANG_MD.wav,1.0,1.0,1.0,1.0,0.0,1.0,0,0
28,2_2_21057_IOM_FEA_XX.wav,0.0,0.0,1.0,0.0,0.0,1.0,1,0
29,0_0_01062_IEO_ANG_MD.wav,0.0,1.0,1.0,1.0,0.0,1.0,0,0
30,2_2_21065_IWW_FEA_XX.wav,0.0,0.0,1.0,0.0,0.0,1.0,1,0
31,5_5_51091_ITH_SAD_XX.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
32,1_1_11065_ITS_DIS_XX.wav,0.0,0.0,1.0,0.0,0.0,1.0,1,0
33,3_3_31074_TAI_HAP_XX.wav,1.0,0.0,1.0,1.0,0.0,1.0,0,0
34,5_5_51004_TAI_SAD_XX.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
35,1_1_11037_IWW_DIS_XX.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
36,5_5_51042_ITH_SAD_XX.wav,0.0,1.0,1.0,1.0,0.0,1.0,0,0
37,0_0_01084_IOM_ANG_XX.wav,0.0,0.0,1.0,0.0,0.0,1.0,1,0
38,3_3_31003_MTI_HAP_XX.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
39,2_2_21012_IOM_FEA_XX.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
40,2_2_21053_IEO_FEA_HI.wav,0.0,1.0,1.0,1.0,0.0,1.0,0,0
41,4_4_41009_ITH_NEU_XX.wav,0.0,0.0,0.0,1.0,1.0,1.0,1,0
42,4_4_41078_TIE_NEU_XX.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
43,0_3_31087_IEO_HAP_HI.wav,0.0,0.0,1.0,0.0,0.0,0.0,1,1
44,3_3_31038_ITH_HAP_XX.wav,1.0,1.0,0.0,1.0,0.0,1.0,0,0
45,2_1_11014_ITS_DIS_XX.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,1
